iShares World ex U.S. Carbon Transition Readiness Aware Active ETF
Fund Holdings as of,"Dec 31, 2025"
Inception Date,"Apr 06, 2021"
Shares Outstanding,"4,125,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","4,228,836.96","1.87","4,228,836.96","267,848.00","15.79","United Kingdom","London Stock Exchange","USD","0.74","GBP","Jan 01, 1998"
"AZN","ASTRAZENECA PLC","Health Care","Equity","3,786,066.65","1.67","3,786,066.65","20,412.00","185.48","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"ASML","ASML HOLDING NV","Information Technology","Equity","3,777,744.56","1.67","3,777,744.56","3,491.00","1,082.14","Netherlands","Euronext Amsterdam","USD","0.85","EUR","-"
"IBE","IBERDROLA SA","Utilities","Equity","3,092,238.00","1.37","3,092,238.00","142,590.00","21.69","Spain","Bolsa De Madrid","USD","0.85","EUR","-"
"CM","CANADIAN IMPERIAL BANK OF COMMERCE","Financials","Equity","2,990,767.98","1.32","2,990,767.98","32,947.00","90.78","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"6501","HITACHI LTD","Industrials","Equity","2,961,621.74","1.31","2,961,621.74","94,700.00","31.27","Japan","Tokyo Stock Exchange","USD","156.75","JPY","-"
"ALV","ALLIANZ","Financials","Equity","2,959,492.44","1.31","2,959,492.44","6,453.00","458.62","Germany","Xetra","USD","0.85","EUR","-"
"SIE","SIEMENS N AG","Industrials","Equity","2,669,947.53","1.18","2,669,947.53","9,506.00","280.87","Germany","Xetra","USD","0.85","EUR","-"
"SAP","SAP","Information Technology","Equity","2,640,521.63","1.17","2,640,521.63","10,791.00","244.70","Germany","Xetra","USD","0.85","EUR","-"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","2,589,393.77","1.14","2,589,393.77","9,386.00","275.88","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"AIR","AIRBUS GROUP","Industrials","Equity","2,376,943.99","1.05","2,376,943.99","10,201.00","233.01","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"BNS","BANK OF NOVA SCOTIA","Financials","Equity","2,359,510.12","1.04","2,359,510.12","31,950.00","73.85","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"NESN","NESTLE SA","Consumer Staples","Equity","2,292,380.06","1.01","2,292,380.06","23,065.00","99.39","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","2,212,834.78","0.98","2,212,834.78","20,666.00","107.08","Australia","Asx - All Markets","USD","1.50","AUD","-"
"ACA","CREDIT AGRICOLE SA","Financials","Equity","2,135,629.45","0.94","2,135,629.45","103,613.00","20.61","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"ORK","ORKLA","Consumer Staples","Equity","2,134,074.31","0.94","2,134,074.31","191,343.00","11.15","Norway","Oslo Bors Asa","USD","10.09","NOK","-"
"ISP","INTESA SANPAOLO","Financials","Equity","2,126,341.37","0.94","2,126,341.37","305,776.00","6.95","Italy","Borsa Italiana","USD","0.85","EUR","-"
"WSP","WSP GLOBAL INC","Industrials","Equity","2,115,434.15","0.94","2,115,434.15","11,668.00","181.30","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"SAN","SANOFI SA","Health Care","Equity","2,094,176.26","0.93","2,094,176.26","21,556.00","97.15","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"1299","AIA GROUP LTD","Financials","Equity","2,036,636.47","0.90","2,036,636.47","198,400.00","10.27","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.78","HKD","-"
"ENI","ENI","Energy","Equity","2,016,688.73","0.89","2,016,688.73","106,390.00","18.96","Italy","Borsa Italiana","USD","0.85","EUR","-"
"MC","LVMH","Consumer Discretionary","Equity","1,999,095.94","0.88","1,999,095.94","2,639.00","757.52","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"EQT","EQT","Financials","Equity","1,981,744.74","0.88","1,981,744.74","50,218.00","39.46","Sweden","Nasdaq Omx Nordic","USD","9.22","SEK","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","1,977,278.13","0.87","1,977,278.13","4,773.00","414.26","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"WBC","WESTPAC BANKING CORPORATION CORP","Financials","Equity","1,964,688.27","0.87","1,964,688.27","76,327.00","25.74","Australia","Asx - All Markets","USD","1.50","AUD","-"
"WPM","WHEATON PRECIOUS METALS CORP","Materials","Equity","1,905,360.54","0.84","1,905,360.54","16,186.00","117.72","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"TCL","TRANSURBAN GROUP STAPLED UNITS","Industrials","Equity","1,903,488.62","0.84","1,903,488.62","200,876.00","9.48","Australia","Asx - All Markets","USD","1.50","AUD","-"
"ENGI","ENGIE SA","Utilities","Equity","1,869,100.25","0.83","1,869,100.25","71,016.00","26.32","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"FNV","FRANCO NEVADA CORP","Materials","Equity","1,856,605.47","0.82","1,856,605.47","8,945.00","207.56","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"SHEL","SHELL PLC","Energy","Equity","1,843,492.44","0.81","1,843,492.44","50,021.00","36.85","United Kingdom","London Stock Exchange","USD","0.74","GBP","-"
"RY","ROYAL BANK OF CANADA","Financials","Equity","1,842,900.63","0.81","1,842,900.63","10,796.00","170.70","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"ITX","INDUSTRIA DE DISENO TEXTIL SA","Consumer Discretionary","Equity","1,784,630.96","0.79","1,784,630.96","26,971.00","66.17","Spain","Bolsa De Madrid","USD","0.85","EUR","-"
"MQG","MACQUARIE GROUP LTD DEF","Financials","Equity","1,768,190.65","0.78","1,768,190.65","13,049.00","135.50","Australia","Asx - All Markets","USD","1.50","AUD","-"
"NA","NATIONAL BANK OF CANADA","Financials","Equity","1,767,340.03","0.78","1,767,340.03","14,035.00","125.92","Canada","Toronto Stock Exchange","USD","1.37","CAD","-"
"TTE","TOTALENERGIES","Energy","Equity","1,654,454.98","0.73","1,654,454.98","25,341.00","65.29","France","Nyse Euronext - Euronext Paris","USD","0.85","EUR","-"
"NOVN","NOVARTIS AG","Health Care","Equity","1,640,161.06","0.73","1,640,161.06","11,856.00","138.34","Switzerland","SIX Swiss Exchange","USD","0.79","CHF","-"
"BXB","BRAMBLES LTD","Industrials","Equity","1,633,532.67","0.72","1,633,532.67","106,691.00","15.31","Australia","Asx - All Markets","USD","1.50","AUD","-"
